,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
Sample_1,5.1,3.5,1.4,0.2
Sample_2,4.9,3,1.4,0.2
Sample_3,4.7,3.2,1.3,0.2
Sample_4,4.6,3.1,1.5,0.2
Sample_5,5,3.6,1.4,0.2
Sample_6,5.4,3.9,1.7,0.4
Sample_7,4.6,3.4,1.4,0.3
Sample_8,5,3.4,1.5,0.2
Sample_9,4.4,2.9,1.4,0.2
Sample_10,4.9,3.1,1.5,0.1
Sample_11,5.4,3.7,1.5,0.2
Sample_12,4.8,3.4,1.6,0.2
Sample_13,4.8,3,1.4,0.1
Sample_14,4.3,3,1.1,0.1
Sample_15,5.8,4,1.2,0.2
Sample_16,5.7,4.4,1.5,0.4
Sample_17,5.4,3.9,1.3,0.4
Sample_18,5.1,3.5,1.4,0.3
Sample_19,5.7,3.8,1.7,0.3
Sample_20,5.1,3.8,1.5,0.3
Sample_21,5.4,3.4,1.7,0.2
Sample_22,5.1,3.7,1.5,0.4
Sample_23,4.6,3.6,1,0.2
Sample_24,5.1,3.3,1.7,0.5
Sample_25,4.8,3.4,1.9,0.2
Sample_26,5,3,1.6,0.2
Sample_27,5,3.4,1.6,0.4
Sample_28,5.2,3.5,1.5,0.2
Sample_29,5.2,3.4,1.4,0.2
Sample_30,4.7,3.2,1.6,0.2
Sample_31,4.8,3.1,1.6,0.2
Sample_32,5.4,3.4,1.5,0.4
Sample_33,5.2,4.1,1.5,0.1
Sample_34,5.5,4.2,1.4,0.2
Sample_35,4.9,3.1,1.5,0.2
Sample_36,5,3.2,1.2,0.2
Sample_37,5.5,3.5,1.3,0.2
Sample_38,4.9,3.6,1.4,0.1
Sample_39,4.4,3,1.3,0.2
Sample_40,5.1,3.4,1.5,0.2
Sample_41,5,3.5,1.3,0.3
Sample_42,4.5,2.3,1.3,0.3
Sample_43,4.4,3.2,1.3,0.2
Sample_44,5,3.5,1.6,0.6
Sample_45,5.1,3.8,1.9,0.4
Sample_46,4.8,3,1.4,0.3
Sample_47,5.1,3.8,1.6,0.2
Sample_48,4.6,3.2,1.4,0.2
