id	logFC	AveExpr	t	P.Value	adj.P.Val	B
itih3a	5.6832	25.5758666666667	18.8872537349467	3.462831403445e-19	1.02222783029696e-15	33.0414506411591
hapln1a	7.94833333333333	26.4493666666667	15.7002116471492	8.22837447253947e-17	1.21450807214683e-13	27.9916082877829
zgc:172244	5.12533333333333	24.6584	14.6872284677116	5.62409087529376e-16	4.22278775843451e-13	26.1815600800468
capn12	5.402	25.8712	14.6783677509899	5.72193463202508e-16	4.22278775843451e-13	26.1652444710343
muc5.2	5.48186666666666	26.288	13.9089411179816	2.63687076951486e-15	1.55680850232157e-12	24.7151320713806
itih2	4.92846666666667	25.7032333333333	12.5457726734765	4.61135079609621e-14	2.26878459167934e-11	21.9759442489045
apobb.1	4.57933333333333	29.9156666666667	12.0470375133711	1.3847126645829e-13	5.83953112264101e-11	20.9162529442701
krt94	-2.94006666666668	31.5476333333333	-11.2878120408939	7.81995069154349e-13	2.88556180517955e-10	19.2408558393284
LOC100538255	3.823	23.1327	9.83366864936535	2.63746626667124e-11	8.65088935468167e-09	15.8138888595486
apoc1l	2.12026666666666	30.1473333333333	9.52269751067141	5.79982350537924e-11	1.71210789878795e-08	15.0430231717528
vcanb	3.77246666666667	24.9263666666667	9.02548908656088	2.09907573509561e-10	5.63315597272931e-08	13.7826797183776
qdpra	4.29333333333334	25.5744666666667	8.97219431675907	2.4139933432224e-10	5.9384236243271e-08	13.6455718075791
apoa4b.1	3.3488	29.3073333333333	8.92132503885573	2.75950067720881e-10	6.26618923009262e-08	13.5143431668511
anxa1c	-1.69986666666666	29.0803333333333	-8.53556905939728	7.69291397246896e-10	1.6221058604806e-07	12.5078520804741
apoc2	3.7906	26.9839	8.44065349617833	9.92915036048756e-10	1.95405679094395e-07	12.257171169501
hgd	3.39940000000001	26.8566333333333	8.35827893573219	1.24019605415304e-09	2.28816171991235e-07	12.0386577412582
vtg1	1.26966666666666	31.4461666666667	8.17357178507947	2.04824610318204e-09	3.55671911564316e-07	11.545507432192
LOC100329690	4.69493333333334	25.5836	8.07722515621258	2.66540386395857e-09	4.37126233689206e-07	11.2865514823456
hpdb	2.48546666666666	27.4856	7.89236394001384	4.43192983142715e-09	6.88581940124892e-07	10.7864623904732
fgfbp2a	3.83133333333333	24.4226666666667	7.54011682256861	1.18086356305017e-08	1.74295461906204e-06	9.82224576484783
bhmt	2.5958	29.3096333333333	7.28260168907668	2.43870335661461e-08	3.42812014701254e-06	9.10849343604911
vtg4	1.7979	27.6982833333333	7.22833405034181	2.84395589843421e-08	3.81607173280809e-06	8.95718390664741
apoa1b	1.14726666666666	32.3987	7.21215041607944	2.97754731661732e-08	3.82161725158884e-06	8.91200228256566
grna	3.49013333333333	23.1774	7.03568035537038	4.92024615857984e-08	6.0519027750532e-06	8.41764649386567
agr2	3.229	23.4209	6.99101539387459	5.5899252843982e-08	6.60058377581739e-06	8.29204980438367
mbpb	2.20633333333334	22.7056333333333	6.97170419665816	5.90734650623682e-08	6.70711034092735e-06	8.23768995413292
apoa4b.2	3.05553333333334	25.9002333333333	6.869450909483	7.91868981464023e-08	8.65776753067332e-06	7.94929184812662
vtg2	2.20066666666667	28.337	6.82853803109449	8.90611423129142e-08	9.38958900384724e-06	7.8336426302074
krt93	-3.86806666666667	25.7999	-6.58306249722194	1.80805071903939e-07	1.84047093882906e-05	7.13688187417656
pah	3.33333333333334	26.7002666666667	6.55091964996436	1.98443088937945e-07	1.95267999514938e-05	7.04530717532239
si:ch211-125o16.4	-1.88393333333333	27.5101	-6.45467798874802	2.62349649277231e-07	2.49824569247222e-05	6.77068672654941
postnb	1.46286666666667	30.5321666666667	6.35668606692041	3.48841287075932e-07	3.21806087327547e-05	6.49045364652475
cp	1.14966666666666	27.7855666666667	6.23542217986847	4.96761901754723e-07	4.44376101206043e-05	6.14289099958838
serpina1l	1.14666666666666	28.3704666666667	6.13391151272959	6.68280477139995e-07	5.80224696622725e-05	5.85136257272091
ca2	-1.84866666666666	27.5044666666667	-6.07867483920852	7.85514642134275e-07	6.62525492451537e-05	5.69253344203621
myh11b	2.1266	25.1389	5.86725891329911	1.46017526921472e-06	0.000119734372075607	5.08360943681654
capn9	-1.80066666666666	28.6638	-5.80099589526232	1.77400376817377e-06	0.000141536733071594	4.89250751374949
aldh1a2	2.68326666666667	22.7990333333333	5.72762005211847	2.20115304271779e-06	0.00017099483637113	4.68080302036845
krt1-19d	-1.1816	31.2306	-5.65082788112071	2.75914156872131e-06	0.00020884579258629	4.45917795048346
LOC100000275	3.83446666666666	23.6785	5.56102593353891	3.59406700567338e-06	0.000265242145018696	4.19997838900062
zgc:111983	-1.42553333333332	27.2865	-5.50210690454939	4.27504481751935e-06	0.000307803226861393	4.02993279004577
col5a3b	-1.92786666666666	24.7962666666667	-5.33759048344315	6.94045023831856e-06	0.000480328258552573	3.55537968059522
zgc:77778	2.51019999999999	23.7487	5.33485219102266	6.99665146265604e-06	0.000480328258552573	3.54748597607609
col11a1b	2.01639999999999	23.2850666666667	5.24146817478149	9.21127761053054e-06	0.000617992988779231	3.27842703620717
elnb	2.59173333333333	23.4516666666667	5.23010731438477	9.52458169342527e-06	0.000624812559088697	3.24571498575578
zgc:123103	1.02566666666667	27.1806333333333	5.21068301584534	1.00850865428124e-05	0.000647199466834397	3.18979731130601
hsd17b7	2.84046666666666	24.5585666666667	5.19267112605247	1.0634199682649e-05	0.000667918243897445	3.13795971511478
apoa2	1.08473333333334	31.6709666666667	5.1754601626604	1.1186736133563e-05	0.000687984272214127	3.08844048625039
scel	-1.94206666666667	26.6557	-5.12896632752798	1.28267120191949e-05	0.000772743956748233	2.9547387329016
apoba	3.48206666666667	24.7811	5.07003566822598	1.52539415462771e-05	0.000879750887589532	2.78543441642199
ezrb	-1.311	26.9632333333333	-5.0687319803666	1.53125183035739e-05	0.000879750887589532	2.78169121409326
icn2	-1.04426666666666	30.5922666666667	-5.04035704405617	1.66444432703956e-05	0.000925632644481877	2.70024523413421
aldh9a1a	1.03893333333332	29.3417333333333	5.03452239172005	1.69323044722295e-05	0.000925632644481877	2.68350388979229
si:dkeyp-70f9.7	1.86699999999999	22.4822333333333	5.01206290641384	1.80873931835608e-05	0.000953546132804892	2.6190813037788
si:ch211-157c3.4	-1.92513333333333	25.2978333333333	-5.01203359047664	1.80889510288191e-05	0.000953546132804892	2.61899723568839
si:dkey-65b12.6	2.21233333333333	25.3651666666667	4.98043006089791	1.98484604342094e-05	0.00102510142779233	2.52840283603364
hpx	1.22926666666667	29.6351666666667	4.97544939985172	2.01408817113669e-05	0.00102510142779233	2.51413160669733
apoa1	1.05913333333333	29.8081666666667	4.93267863481514	2.28350713746428e-05	0.00114252763894823	2.39165332637773
tgm8	-1.89686666666665	22.3501666666667	-4.89881216807346	2.52201625600236e-05	0.00124083199795316	2.29477206497813
fga	1.8916	26.7902	4.8140341693177	3.23321857912335e-05	0.00156466577796264	2.05266769710186
eppk1	-1.73759999999999	29.7520666666667	-4.77493951725776	3.62512109592352e-05	0.00171350489562481	1.94124235516617
postna	2.462	26.9166666666667	4.77195843286606	3.65687020407735e-05	0.00171350489562481	1.93275188146788
cyp8b3	3.07133333333333	24.7398666666667	4.70480357108034	4.44987825271664e-05	0.00205250634406555	1.74172616205151
si:ch73-237c6.1	1.44553333333333	22.5155666666667	4.64414226729404	5.31150179802763e-05	0.00241223897042732	1.56958984728148
zgc:100864	-1.166	26.1706	-4.59761692834385	6.08252440386356e-05	0.00266935163906368	1.43785696613411
evpla	-1.86173333333333	29.7985333333333	-4.54474970942649	7.09368727584785e-05	0.00303486446931925	1.28849467341568
fgg	2.2666	26.0895	4.48303571423555	8.48570120119435e-05	0.00352813942900362	1.11460778220099
cldne	-1.74453333333334	22.7922	-4.47059161709337	8.79747504492312e-05	0.00360696476841848	1.07960934972804
vtg5	1.97366666666667	27.2643	4.3982849606908	0.000108458907909293	0.00436577537870631	0.876701780010489
gyg1b	2.87619999999999	26.0127666666667	4.39516917038649	0.000109440168707407	0.00436577537870631	0.867976096721473
si:dkeyp-93a5.3	1.66426666666667	22.3878	4.35280821667135	0.00012368198921235	0.00480406884414284	0.749498213841676
zgc:136930	2.63493333333332	30.0180666666667	4.33689994217784	0.000129489431335912	0.00496432209485211	0.705080014414718
a2ml	1.6966	25.9523666666667	4.30866338068047	0.000140466059197871	0.00524891240870892	0.626343483308978
si:dkey-175d9.2	-1.51359999999999	21.9456	-4.19038703957908	0.000197281442864643	0.00710213194312713	0.298061569878712
tgm1l4	-1.36146666666667	22.2878	-4.13387824808319	0.00023187577311728	0.00824695520773748	0.142147652366228
aldh1l1	2.23153333333334	24.3570333333333	4.10163886758604	0.000254209761363084	0.00893365732790267	0.0534825560168244
kng1	1.46046666666666	25.1246333333333	4.08533214460279	0.000266296114197485	0.00924830740130561	0.00871753942169473
tgm1	-1.65526666666666	23.7411	-4.05279613827603	0.000292117488278817	0.0100271026209194	-0.0804314914250357
lrrc15	1.46073333333333	22.9843	4.03648387648939	0.000305970514370231	0.0103818960738037	-0.125041210204571
