gene_name,logFC,P.Value,adj.P.Val
Csn1s2b,-8.603611115,0.00000000000000383065 ,0.00000000006053958897 
Slc25a1,-4.124175321,0.00000000000017585947 ,0.00000000138964155865 
Atp2b2,-7.386986387,0.00000000000048363625 ,0.00000000243279979019 
Slc34a2,-4.177812421,0.00000000000061574280 ,0.00000000243279979019 
Acacb,-4.31431995,0.00000000000149997746 ,0.00000000474112875361 
Egf,-5.36266382,0.00000000000211624445 ,0.00000000557418787695 
Slc30a2,-3.203118136,0.00000000000302466813 ,0.00000000682883645793 
Elovl5,-2.863304037,0.00000000000659874426 ,0.00000001303581928441 
Rbp1,5.443044022,0.00000000001479143239 ,0.00000002364745598070 
Ceacam10,-3.295621175,0.00000000001496295620 ,0.00000002364745598070 
Ddah1,-6.264982837,0.00000000001696230666 ,0.00000002437020858516 
Cidea,-4.840654688,0.00000000002757731608 ,0.00000003631932527430 
Pmvk,-2.676983329,0.00000000003376092052 ,0.00000003985063086389 
St6gal1,-2.847275729,0.00000000003530174842 ,0.00000003985063086389 
Ppl,3.609830768,0.00000000003942990836 ,0.00000003994798235067 
Elovl6,-3.181536395,0.00000000004044341417 ,0.00000003994798235067 
Ggt1,-3.018191776,0.00000000005472728754 ,0.00000005087706189997 
Slc39a8,-6.575426262,0.00000000007427547821 ,0.00000006521386986585 
Slc39a4,4.362021461,0.00000000008167929967 ,0.00000006793998168296 
Scd1,-3.296577195,0.00000000009155093123 ,0.00000007234354586138 
Cited1,-3.532553898,0.00000000009862227244 ,0.00000007422030445852 
Kcnk6,-2.417542566,0.00000000011546200571 ,0.00000008294370628481 
Slc7a4,-2.679335114,0.00000000012986445837 ,0.00000008923382174438 
Tc2n,-3.309637634,0.00000000013577650534 ,0.00000008940882876324 
Lgals12,-2.366703314,0.00000000015124105703 ,0.00000009210563515701 
Slc33a1,-2.603701084,0.00000000015152787358 ,0.00000009210563515701 
Ctsc,-3.417329313,0.00000000016703877873 ,0.00000009777336515131 
Ptgs1,-4.158271082,0.00000000019321410542 ,0.00000010713004188988 
Osbpl1a,-2.546556436,0.00000000019658132212 ,0.00000010713004188988 
Eloa,-2.035527766,0.00000000024423112905 ,0.00000012866095878288 
Lpo,-3.491488781,0.00000000029425211045 ,0.00000014433652060993 
BC006965,3.728493323,0.00000000029813218866 ,0.00000014433652060993 
Tor3a,-3.536744475,0.00000000030660674648 ,0.00000014433652060993 
Acss2,-2.548434768,0.00000000031869048272 ,0.00000014433652060993 
Acat2,-2.492645889,0.00000000031965187429 ,0.00000014433652060993 
Eef2k,-1.902967441,0.00000000035773896181 ,0.00000015704740423643 
Steap1,-3.907074899,0.00000000047727568718 ,0.00000020336540580244 
Mfsd4a,-2.556355525,0.00000000050124189158 ,0.00000020336540580244 
Gjb1,-6.004443598,0.00000000050186545829 ,0.00000020336540580244 
Fkbp11,-2.262584469,0.00000000051471882005 ,0.00000020336540580244 
Insig1,-4.13647897,0.00000000054568558930 ,0.00000021034183056931 
Dnajc6,-2.821655375,0.00000000056677294640 ,0.00000021326856297553 
Bhlha15,-2.882006104,0.00000000061719259741 ,0.00000022411884736549 
Asah1,-2.467702693,0.00000000062397046849 ,0.00000022411884736549 
Acat3,-2.578858971,0.00000000064393752888 ,0.00000022615086014313 
Oxct1,-2.451785922,0.00000000066469604208 ,0.00000022836644019514 
Acot1,3.51555235,0.00000000069856845920 ,0.00000023489736019426 
Gsdmc,-4.884692191,0.00000000076627896107 ,0.00000025229734793282 
Acadsb,-1.88881149,0.00000000081901053297 ,0.00000026158506936055 
Orm1,-4.492013807,0.00000000082759133561 ,0.00000026158506936055 
Anpep,3.369670564,0.00000000088172515105 ,0.00000027323106445449 
Prkaa2,-2.592023554,0.00000000093035319943 ,0.00000028275580699631 
Gprc5b,-2.497973723,0.00000000099335653190 ,0.00000029620767226690 
Aldoc,-2.601254758,0.00000000116455569682 ,0.00000034082663393569 
Slc1a3,-4.139114287,0.00000000123824259256 ,0.00000035474786556186 
Sectm1a,-2.323053375,0.00000000125701597516 ,0.00000035474786556186 
Ttyh1,-4.549460431,0.00000000146673015260 ,0.00000040667023388989 
Acly,-2.444680601,0.00000000165695552119 ,0.00000045149181132483 
Mfsd2a,-2.131521047,0.00000000179544286047 ,0.00000046959635993540 
Rph3al,-2.688118953,0.00000000181183341087 ,0.00000046959635993540 
Steap2,-3.241121603,0.00000000182423970217 ,0.00000046959635993540 
